time,temperature_2m_max (Â°F)
1/1/2023,59.8
1/2/2023,56.1
1/3/2023,56.9
1/4/2023,60.2
1/5/2023,62.1
1/6/2023,62.6
1/7/2023,66.8
1/8/2023,64.3
1/9/2023,57.8
1/10/2023,60.6
1/11/2023,60.5
1/12/2023,70.5
1/13/2023,65.5
1/14/2023,55.8
1/15/2023,58.8
1/16/2023,58.1
1/17/2023,60.4
1/18/2023,61.9
1/19/2023,60.4
1/20/2023,62.1
1/21/2023,65.4
1/22/2023,63.2
1/23/2023,66.3
1/24/2023,68.6
1/25/2023,73.3
1/26/2023,72.5
1/27/2023,70.8
1/28/2023,64.9
1/29/2023,58
1/30/2023,57.8
1/31/2023,66.2
2/1/2023,70.5
2/2/2023,70.1
2/3/2023,72.2
2/4/2023,73.1
2/5/2023,65.5
2/6/2023,71.8
2/7/2023,70.8
2/8/2023,75.8
2/9/2023,80.5
2/10/2023,77.7
2/11/2023,59.8
2/12/2023,60.4
2/13/2023,62.4
2/14/2023,58.7
2/15/2023,64.7
2/16/2023,63.6
2/17/2023,68
2/18/2023,69.3
2/19/2023,69.6
2/20/2023,74.3
2/21/2023,66.5
2/22/2023,56.3
2/23/2023,50.9
2/24/2023,54
2/25/2023,53.6
2/26/2023,53.4
2/27/2023,50.3
2/28/2023,56
3/1/2023,52.4
3/2/2023,63.2
3/3/2023,63.7
3/4/2023,58.1
3/5/2023,57.4
3/6/2023,60.2
3/7/2023,63.1
3/8/2023,62.9
3/9/2023,69.5
3/10/2023,56.4
3/11/2023,62.3
3/12/2023,65
3/13/2023,67.7
3/14/2023,58.7
3/15/2023,59.6
3/16/2023,60.9
3/17/2023,70.8
3/18/2023,77.4
3/19/2023,66.9
3/20/2023,60.5
3/21/2023,58.7
3/22/2023,55.7
3/23/2023,60
3/24/2023,68.1
3/25/2023,66.4
3/26/2023,67.9
3/27/2023,73.8
3/28/2023,73.6
3/29/2023,59.2
3/30/2023,57.9
3/31/2023,65.6
4/1/2023,72.1
4/2/2023,68.9
4/3/2023,63.2
4/4/2023,64.9
4/5/2023,69.8
4/6/2023,74.2
4/7/2023,73.5
4/8/2023,70.5
4/9/2023,78
4/10/2023,77.9
4/11/2023,70.9
4/12/2023,61.4
4/13/2023,57.9
4/14/2023,63.3
4/15/2023,74
4/16/2023,68.2
4/17/2023,65.5
4/18/2023,67.1
4/19/2023,71.1
4/20/2023,81.7
4/21/2023,90.3
4/22/2023,86.8
4/23/2023,76.7
4/24/2023,73.4
4/25/2023,71.9
4/26/2023,78.5
4/27/2023,75.1
4/28/2023,74.2
4/29/2023,75.8
4/30/2023,69.4
5/1/2023,64.2
5/2/2023,64.4
5/3/2023,65.4
5/4/2023,62.3
5/5/2023,67.1
5/6/2023,69.7
5/7/2023,71.1
5/8/2023,73.2
5/9/2023,67
5/10/2023,68.2
5/11/2023,71.7
5/12/2023,73.9
5/13/2023,77.3
5/14/2023,78.6
5/15/2023,72.4
5/16/2023,73.8
5/17/2023,74.5
5/18/2023,73.9
5/19/2023,67.7
5/20/2023,75.2
5/21/2023,76.6
5/22/2023,70.3
5/23/2023,64
5/24/2023,68.1
5/25/2023,66.7
5/26/2023,69.4
5/27/2023,69.7
5/28/2023,67.9
5/29/2023,70.8
5/30/2023,68.9
5/31/2023,66.9
6/1/2023,66
6/2/2023,73.2
6/3/2023,76
6/4/2023,74.1
6/5/2023,66.2
6/6/2023,69
6/7/2023,68.6
6/8/2023,73.1
6/9/2023,71
6/10/2023,69.7
6/11/2023,67.4
6/12/2023,70.8
6/13/2023,71.6
6/14/2023,67.3
6/15/2023,71.8
6/16/2023,75.4
6/17/2023,80.7
6/18/2023,75.2
6/19/2023,73.1
6/20/2023,77.9
6/21/2023,78.9
6/22/2023,74.9
6/23/2023,76
6/24/2023,80.1
6/25/2023,78.6
6/26/2023,77.2
6/27/2023,79.3
6/28/2023,78
6/29/2023,81.6
6/30/2023,79
7/1/2023,83.2
7/2/2023,83.7
7/3/2023,83.8
7/4/2023,80.8
7/5/2023,81.6
7/6/2023,79.2
7/7/2023,80.3
7/8/2023,79.2
7/9/2023,80
7/10/2023,85.8
7/11/2023,89
7/12/2023,91
7/13/2023,91.8
7/14/2023,92
7/15/2023,90.9
7/16/2023,88.5
7/17/2023,93
7/18/2023,91.6
7/19/2023,91.2
7/20/2023,93.7
7/21/2023,87.9
7/22/2023,87.9
7/23/2023,89.4
7/24/2023,90.2
7/25/2023,96.5
7/26/2023,95.4
7/27/2023,94.3
7/28/2023,90.3
7/29/2023,92.2
7/30/2023,90.2
7/31/2023,92
8/1/2023,90.8
8/2/2023,88.8
8/3/2023,84.8
8/4/2023,86.3
8/5/2023,87.9
8/6/2023,89.7
8/7/2023,91.3
8/8/2023,88.6
8/9/2023,82.4
8/10/2023,82
8/11/2023,79.3
8/12/2023,83.9
8/13/2023,86.1
8/14/2023,83.4
8/15/2023,85.9
8/16/2023,90.1
8/17/2023,89
8/18/2023,85.4
8/19/2023,79.9
8/20/2023,76.6
8/21/2023,79.4
8/22/2023,83.9
8/23/2023,86.4
8/24/2023,83
8/25/2023,83.7
8/26/2023,89.3
8/27/2023,94.3
8/28/2023,101
8/29/2023,97.6
8/30/2023,96.5
8/31/2023,85.7
9/1/2023,83.1
9/2/2023,76.7
9/3/2023,78
9/4/2023,79.4
9/5/2023,75.4
9/6/2023,83.9
9/7/2023,84.4
9/8/2023,94.7
9/9/2023,92.5
9/10/2023,94.2
9/11/2023,88.6
9/12/2023,84.8
9/13/2023,80.3
9/14/2023,79.8
9/15/2023,77.2
9/16/2023,70.6
9/17/2023,72.1
9/18/2023,79.4
9/19/2023,80
9/20/2023,78.6
9/21/2023,73.1
9/22/2023,75
9/23/2023,79
9/24/2023,80.2
9/25/2023,80.1
9/26/2023,83.4
9/27/2023,83.8
9/28/2023,79.4
9/29/2023,73.7
9/30/2023,66.8
10/1/2023,70.4
10/2/2023,73.8
10/3/2023,83
10/4/2023,91
10/5/2023,96.9
10/6/2023,93.7
10/7/2023,90.2
10/8/2023,85.7
10/9/2023,78.5
10/10/2023,77.1
10/11/2023,78.1
10/12/2023,82.1
10/13/2023,81.6
10/14/2023,81.1
10/15/2023,89.7
10/16/2023,88.4
10/17/2023,83.9
10/18/2023,83
10/19/2023,83.8
10/20/2023,87.9
10/21/2023,84.9
10/22/2023,74.9
10/23/2023,74.2
10/24/2023,76.7
10/25/2023,71.1
10/26/2023,73
10/27/2023,74
10/28/2023,73.6
10/29/2023,82.1
10/30/2023,81.2
10/31/2023,85.5
11/1/2023,88.2
11/2/2023,85.3
11/3/2023,84.1
11/4/2023,80.7
11/5/2023,83.7
11/6/2023,77.6
11/7/2023,72.5
11/8/2023,77.5
11/9/2023,79.2
11/10/2023,76.7
11/11/2023,82.1
11/12/2023,86.5
11/13/2023,77.6
11/14/2023,81.1
11/15/2023,69.5
11/16/2023,73.8
11/17/2023,76.1
11/18/2023,70.4
11/19/2023,74.9
11/20/2023,74.2
11/21/2023,81.2
11/22/2023,82.6
11/23/2023,72
11/24/2023,69.6
11/25/2023,70.6
11/26/2023,70.4
11/27/2023,72.9
11/28/2023,73.4
11/29/2023,66.1
11/30/2023,65.9
12/1/2023,68.6
12/2/2023,67.7
12/3/2023,70.4
12/4/2023,77.3
12/5/2023,85.2
12/6/2023,76.7
12/7/2023,68.4
12/8/2023,68.3
12/9/2023,73
12/10/2023,75.7
12/11/2023,73.8
12/12/2023,68.8
12/13/2023,70.1
12/14/2023,76.3
12/15/2023,79.4
12/16/2023,81.4
12/17/2023,77.8
12/18/2023,71.4
12/19/2023,67.4
12/20/2023,62.6
12/21/2023,64.8
12/22/2023,66
12/23/2023,64.5
12/24/2023,66
12/25/2023,67.2
12/26/2023,66
12/27/2023,65.3
12/28/2023,65.9
12/29/2023,65.9
12/30/2023,61.2
12/31/2023,60.2
